"ID","time","filter_1","filter_2","grade_group","age","sex","b1_1","b1_2","b1_3","b1_4","b1_5","b2_1","b2_2","b2_3","b3_1","b3_2","b3_3","b4_1","b4_2","b4_3","b4_4","b5_1","b5_2","b5_3","b6_1","b6_2","b6_3","b7_1","b7_2","b7_3","b7_4","b8_1","b8_2","b8_3","b9_1","b9_2","b9_3","b1","b2","b3","b4","b5","b6","b7","b8","b9","","","","",""
"2001039378","09.03.2025 12:17:25","Да","Да","более 3 лет","","Женский","3","4","4","4","4","4","4","4","5","3","5","4","4","5","5","5","5","5","3","5","5","4","5","4","2","4","4","5","5","5","5","","","","","Корпоративная культура","Интерес к работе","Финансовая мотивация","","","","","","",""
"2001040286","09.03.2025 14:48:09","Да","Да","более 3 лет","35","Мужской","4","4","5","4","4","4","5","5","3","5","4","4","4","5","3","4","4","4","4","4","4","4","5","4","5","5","5","5","3","4","5","Развитие","","","","","","","","","","","","",""
"2001070464","09.03.2025 16:23:45","Да","Да","более 3 лет","","Мужской","4","3","4","4","5","5","5","5","5","4","4","2","3","5","4","4","5","4","5","4","5","3","3","5","5","4","3","5","5","5","5","","Коллектив и атмосфера","","","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2001100641","09.03.2025 16:34:20","Да","Да","менее 1 года","19","Женский","3","4","5","4","5","5","5","5","5","5","4","5","4","5","5","4","5","4","5","5","4","5","5","5","4","4","5","","4","4","4","","Коллектив и атмосфера","","","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2001105451","09.03.2025 16:42:49","Да","Да","более 3 лет","23","Мужской","3","4","5","4","4","5","5","5","5","5","4","5","4","5","3","2","4","4","4","4","5","5","5","4","5","5","3","5","5","4","5","Развитие","","","","","","","","","","","","",""
"2001122785","09.03.2025 17:11:16","Да","Да","более 3 лет","53","Мужской","4","4","4","2","3","5","4","4","5","4","3","3","5","4","4","3","4","5","5","3","5","5","4","3","5","5","5","2","5","3","2","","","","Условия работы","","","ФИнансовая мотивация","","","","","","",""
"2001138885","09.03.2025 17:54:12","Да","Да","более 3 лет","","Мужской","4","4","5","3","5","5","5","3","4","2","3","3","4","4","4","4","2","4","5","3","3","4","4","5","5","5","4","5","4","5","5","Развитие","Коллектив и атмосфера","","","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2001154986","09.03.2025 18:03:24","Да","Да","более 3 лет","40","Мужской","2","4","4","3","4","4","4","4","2","4","3","4","3","4","2","1","3","4","4","5","4","5","4","5","3","3","5","3","3","4","3","Развитие","","","","","","","","","","","","",""
"2001234841","09.03.2025 20:02:18","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001247446","09.03.2025 20:21:38","Да","Да","1–3 года","21","Мужской","4","5","4","3","5","4","5","5","4","4","5","1","5","4","1","1","4","4","5","5","4","5","5","5","3","1","4","3","5","5","5","Развитие","Коллектив и атмосфера","","","","Интерес к работе","","","Руководство","","","","",""
"2001248482","09.03.2025 20:23:06","Да","Да","1–3 года","22","Мужской","3","4","5","4","4","5","5","5","5","3","3","4","4","4","3","5","5","3","5","5","5","5","5","5","5","5","4","3","5","5","4","","Коллектив и атмосфера","Стабильность","Условия работы","","","Финансовая мотивация","","","","","","",""
"2001248580","09.03.2025 20:23:15","Да","Да","менее 1 года","21","Мужской","5","5","3","4","4","2","2","3","4","4","5","5","5","5","2","3","4","4","4","5","5","4","5","5","3","5","5","5","4","4","4","Развитие","","","","","Интерес к работе","","","","","","","",""
"2001297888","09.03.2025 21:40:48","Да","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001298053","09.03.2025 21:41:07","Да","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001302950","09.03.2025 21:49:19","Да","Да","1–3 года","23","Мужской","3","5","5","5","5","5","5","5","5","4","2","5","5","5","3","2","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","","Коллектив и атмосфера","","","Корпоративная культура","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2001310776","09.03.2025 22:02:06","Да","Да","менее 1 года","19","Мужской","4","3","4","5","5","4","4","4","5","5","3","5","4","3","5","3","4","5","5","5","4","5","4","5","5","5","5","4","4","4","4","Развитие","","","Условия работы","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2001311052","09.03.2025 22:02:37","Да","Да","1–3 года","21","Мужской","3","3","4","1","5","5","5","5","4","5","2","5","5","5","5","2","3","2","4","4","4","5","5","5","5","5","5","3","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","Руководство","","","","",""
"2001318880","09.03.2025 22:16:57","Да","Да","1–3 года","22","Женский","3","3","4","4","4","5","5","5","5","5","4","4","4","5","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","Руководство","","","","",""
"2001320435","09.03.2025 22:19:53","Да","Да","1–3 года","21","Мужской","4","4","3","3","4","3","3","3","3","4","2","4","5","3","2","2","4","3","4","5","3","4","4","5","5","5","5","4","4","4","5","Развитие","","","Условия работы","","","Финансовая мотивация","","","","","","",""
"2001326875","09.03.2025 22:32:07","Да","Да","менее 1 года","22","Мужской","3","4","5","2","4","5","5","4","3","5","4","3","3","3","3","3","4","4","5","5","5","5","5","5","5","3","5","3","5","5","4","Развитие","Коллектив и атмосфера","","","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2001379512","10.03.2025 2:34:21","Да","Да","более 3 лет","","Женский","4","3","5","2","5","4","2","5","4","4","5","5","4","5","2","2","5","3","5","3","4","5","3","4","5","5","4","3","5","5","3","Развитие","","","Условия работы","","","Финансовая мотивация","","Руководство","","","","",""
"2001432150","10.03.2025 4:56:43","Да","Да","более 3 лет","","Мужской","5","3","5","2","5","5","5","1","5","4","5","4","5","5","3","4","3","4","4","3","5","5","4","5","4","3","5","4","3","4","4","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","","","Финансовая мотивация","","","","","","",""
"2001465912","10.03.2025 7:11:29","Да","Да","более 3 лет","","Мужской","3","3","2","3","5","5","5","5","4","3","4","4","4","4","4","4","5","3","3","5","5","4","4","5","4","2","4","3","4","4","4","","Коллектив и атмосфера","","","","Интерес к работе","","","","","","","",""
"2001482791","10.03.2025 8:09:40","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001584670","10.03.2025 9:45:14","Да","Да","более 3 лет","","Мужской","2","5","4","4","1","4","4","5","5","3","5","5","5","5","3","3","5","4","5","4","5","4","5","2","2","5","4","4","4","2","5","","","Стабильность","Условия работы","","Интерес к работе","","","","","","","",""
"2001772470","10.03.2025 12:03:47","Да","Да","более 3 лет","","Мужской","3","5","4","4","4","5","4","4","5","4","3","3","5","5","1","1","5","4","3","5","5","5","5","4","5","4","5","3","4","5","5","","","","Условия работы","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2001818066","10.03.2025 13:05:33","Да","Да","1–3 года","22.00","Женский","5","5","4","4","4","5","5","5","4","4","4","5","5","5","4","4","4","5","5","4","4","4","5","5","4","5","5","5","5","5","5","Развитие","Коллектив и атмосфера","","","","Интерес к работе","","Баланс работы и личной жизни","","","","","",""
"2001891544","10.03.2025 14:05:04","Да","Да","1–3 года","21.00","Мужской","4","5","5","4","4","4","4","3","4","4","5","4","5","5","4","3","4","4","4","4","4","4","3","4","4","4","3","4","4","4","5","Развитие","","","Условия работы","","","Финансовая мотивация","","Руководство","","","","",""
"2001911684","10.03.2025 14:22:58","Да","Да","более 3 лет","","Женский","4","5","5","2","5","4","5","4","3","3","5","5","5","5","1","1","5","4","3","5","5","5","4","2","1","5","5","5","5","5","5","Развитие","","","Условия работы","","Интерес к работе","","Баланс работы и личной жизни","Руководство","","","","",""
