Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ozon», по месяцам, 01.01.2018 — 31.10.2024, все регионы, все устройства
январь 2018;235 966;0,0030;
февраль 2018;248 967;0,0032;
март 2018;264 886;0,0031;
апрель 2018;246 172;0,0032;
май 2018;246 697;0,0033;
июнь 2018;242 608;0,0035;
июль 2018;255 775;0,0036;
август 2018;280 712;0,0040;
сентябрь 2018;323 072;0,0041;
октябрь 2018;377 657;0,0041;
ноябрь 2018;401 889;0,0047;
декабрь 2018;445 120;0,0052;
январь 2019;467 385;0,0053;
февраль 2019;537 722;0,0064;
март 2019;472 609;0,0054;
апрель 2019;425 406;0,0051;
май 2019;426 084;0,0054;
июнь 2019;446 395;0,0062;
июль 2019;487 870;0,0066;
август 2019;505 564;0,0070;
сентябрь 2019;513 186;0,0065;
октябрь 2019;616 907;0,0070;
ноябрь 2019;751 494;0,0085;
декабрь 2019;784 881;0,0085;
январь 2020;633 746;0,0065;
февраль 2020;645 342;0,0070;
март 2020;688 341;0,0070;
апрель 2020;906 104;0,0076;
май 2020;811 004;0,0076;
июнь 2020;695 610;0,0078;
июль 2020;688 734;0,0082;
август 2020;691 731;0,0083;
сентябрь 2020;698 165;0,0073;
октябрь 2020;812 356;0,0075;
ноябрь 2020;1 124 337;0,0098;
декабрь 2020;1 310 176;0,0119;
январь 2021;1 070 635;0,0103;
февраль 2021;1 067 208;0,0107;
март 2021;1 141 321;0,0105;
апрель 2021;1 054 200;0,0098;
май 2021;1 065 804;0,0103;
июнь 2021;1 101 766;0,0111;
июль 2021;1 173 796;0,0121;
август 2021;1 280 228;0,0128;
сентябрь 2021;1 295 252;0,0121;
октябрь 2021;1 450 972;0,0128;
ноябрь 2021;2 042 045;0,0177;
декабрь 2021;2 071 942;0,0175;
январь 2022;1 723 312;0,0145;
февраль 2022;1 647 188;0,0140;
март 2022;2 007 566;0,0158;
апрель 2022;1 456 489;0,0122;
май 2022;1 539 671;0,0129;
июнь 2022;1 621 653;0,0152;
июль 2022;1 510 438;0,0145;
август 2022;1 684 672;0,0157;
сентябрь 2022;2 088 694;0,0179;
октябрь 2022;1 488 996;0,0121;
ноябрь 2022;1 846 960;0,0147;
декабрь 2022;1 773 044;0,0141;
январь 2023;1 479 929;0,0120;
февраль 2023;1 484 363;0,0130;
март 2023;1 672 310;0,0135;
апрель 2023;1 449 890;0,0126;
май 2023;1 683 714;0,0149;
июнь 2023;1 415 336;0,0138;
июль 2023;1 495 011;0,0149;
август 2023;1 512 087;0,0151;
сентябрь 2023;1 607 390;0,0150;
октябрь 2023;1 635 868;0,0137;
ноябрь 2023;1 785 755;0,0153;
декабрь 2023;1 735 933;0,0146;
январь 2024;1 562 605;0,0130;
февраль 2024;1 576 474;0,0141;
март 2024;1 528 588;0,0133;
апрель 2024;1 415 682;0,0131;
май 2024;1 377 302;0,0130;
июнь 2024;1 396 173;0,0150;
июль 2024;1 443 238;0,0156;
август 2024;1 409 455;0,0151;
сентябрь 2024;1 374 395;0,0139;
октябрь 2024;1 566 521;0,0135;
