Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вайлдберриз», по месяцам, 01.01.2018 — 31.10.2024, все регионы, все устройства
январь 2018;972 409;0,012;
февраль 2018;1 038 791;0,013;
март 2018;1 277 309;0,015;
апрель 2018;1 256 606;0,016;
май 2018;1 383 491;0,018;
июнь 2018;1 312 120;0,019;
июль 2018;1 370 290;0,019;
август 2018;1 546 791;0,022;
сентябрь 2018;1 753 714;0,022;
октябрь 2018;2 062 093;0,022;
ноябрь 2018;2 288 709;0,027;
декабрь 2018;2 272 549;0,026;
январь 2019;2 001 570;0,022;
февраль 2019;2 306 954;0,027;
март 2019;2 488 031;0,028;
апрель 2019;2 329 688;0,028;
май 2019;2 256 208;0,028;
июнь 2019;2 207 517;0,030;
июль 2019;2 508 073;0,034;
август 2019;2 884 359;0,039;
сентябрь 2019;3 026 810;0,038;
октябрь 2019;3 577 143;0,040;
ноябрь 2019;4 324 551;0,049;
декабрь 2019;4 423 665;0,048;
январь 2020;3 693 382;0,038;
февраль 2020;4 065 835;0,044;
март 2020;4 199 327;0,043;
апрель 2020;7 329 721;0,061;
май 2020;7 291 279;0,068;
июнь 2020;6 376 033;0,071;
июль 2020;5 673 590;0,067;
август 2020;6 070 399;0,072;
сентябрь 2020;6 142 733;0,065;
октябрь 2020;6 956 198;0,065;
ноябрь 2020;9 043 112;0,079;
декабрь 2020;10 115 292;0,092;
январь 2021;7 955 488;0,076;
февраль 2021;8 452 241;0,085;
март 2021;9 033 919;0,083;
апрель 2021;9 139 196;0,085;
май 2021;9 501 090;0,092;
июнь 2021;9 716 491;0,098;
июль 2021;10 433 059;0,108;
август 2021;11 783 762;0,118;
сентябрь 2021;11 719 177;0,110;
октябрь 2021;12 220 831;0,108;
ноябрь 2021;15 591 158;0,135;
декабрь 2021;17 345 561;0,147;
январь 2022;14 797 818;0,124;
февраль 2022;15 191 137;0,129;
март 2022;20 251 196;0,159;
апрель 2022;14 741 740;0,124;
май 2022;14 687 137;0,123;
июнь 2022;15 316 168;0,143;
июль 2022;15 568 013;0,150;
август 2022;18 811 067;0,175;
сентябрь 2022;16 440 054;0,141;
октябрь 2022;17 163 012;0,139;
ноябрь 2022;21 022 995;0,167;
декабрь 2022;21 203 621;0,169;
январь 2023;16 111 130;0,131;
февраль 2023;14 990 890;0,132;
март 2023;15 917 574;0,128;
апрель 2023;13 035 135;0,113;
май 2023;13 195 482;0,117;
июнь 2023;13 429 790;0,131;
июль 2023;13 989 653;0,139;
август 2023;14 508 125;0,145;
сентябрь 2023;13 744 876;0,128;
октябрь 2023;15 150 134;0,127;
ноябрь 2023;16 056 733;0,137;
декабрь 2023;15 947 346;0,134;
январь 2024;14 014 437;0,117;
февраль 2024;12 736 589;0,114;
март 2024;13 206 800;0,115;
апрель 2024;11 812 158;0,109;
май 2024;11 164 712;0,105;
июнь 2024;10 755 410;0,115;
июль 2024;11 058 909;0,119;
август 2024;11 247 003;0,121;
сентябрь 2024;10 847 701;0,109;
октябрь 2024;12 400 827;0,106;
