Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вб», по месяцам, 01.01.2018 — 31.10.2024, все регионы, все устройства
январь 2018;51 713;0,00067;
февраль 2018;57 818;0,00075;
март 2018;65 467;0,00078;
апрель 2018;63 926;0,00085;
май 2018;75 659;0,00101;
июнь 2018;61 405;0,00089;
июль 2018;61 294;0,00088;
август 2018;65 759;0,00093;
сентябрь 2018;74 952;0,00095;
октябрь 2018;97 623;0,00106;
ноябрь 2018;86 483;0,00102;
декабрь 2018;87 401;0,00102;
январь 2019;74 811;0,00085;
февраль 2019;74 669;0,00089;
март 2019;81 663;0,00093;
апрель 2019;75 846;0,00092;
май 2019;75 091;0,00095;
июнь 2019;72 581;0,00100;
июль 2019;63 486;0,00086;
август 2019;65 400;0,00090;
сентябрь 2019;81 172;0,00103;
октябрь 2019;105 866;0,00120;
ноябрь 2019;103 026;0,00116;
декабрь 2019;102 834;0,00111;
январь 2020;86 117;0,00089;
февраль 2020;98 853;0,00108;
март 2020;122 508;0,00125;
апрель 2020;168 364;0,00141;
май 2020;174 480;0,00163;
июнь 2020;155 216;0,00175;
июль 2020;116 363;0,00139;
август 2020;124 177;0,00149;
сентябрь 2020;147 092;0,00155;
октябрь 2020;180 686;0,00168;
ноябрь 2020;197 541;0,00173;
декабрь 2020;207 743;0,00189;
январь 2021;178 853;0,00172;
февраль 2021;196 506;0,00197;
март 2021;211 670;0,00195;
апрель 2021;223 652;0,00208;
май 2021;233 789;0,00228;
июнь 2021;242 196;0,00245;
июль 2021;244 115;0,00253;
август 2021;286 704;0,00287;
сентябрь 2021;321 995;0,00302;
октябрь 2021;377 696;0,00334;
ноябрь 2021;447 740;0,00388;
декабрь 2021;524 701;0,00445;
январь 2022;466 157;0,00393;
февраль 2022;529 006;0,00450;
март 2022;708 964;0,00559;
апрель 2022;628 799;0,00529;
май 2022;673 660;0,00568;
июнь 2022;745 583;0,00700;
июль 2022;792 792;0,00765;
август 2022;994 829;0,00929;
сентябрь 2022;953 550;0,00820;
октябрь 2022;1 105 736;0,00899;
ноябрь 2022;1 277 362;0,01018;
декабрь 2022;1 318 627;0,01054;
январь 2023;1 220 501;0,00996;
февраль 2023;1 283 364;0,01131;
март 2023;1 554 555;0,01257;
апрель 2023;1 487 537;0,01296;
май 2023;1 629 787;0,01449;
июнь 2023;1 768 824;0,01736;
июль 2023;2 126 679;0,02122;
август 2023;2 431 317;0,02436;
сентябрь 2023;2 143 299;0,02005;
октябрь 2023;2 601 493;0,02194;
ноябрь 2023;2 862 491;0,02454;
декабрь 2023;3 183 168;0,02683;
январь 2024;3 128 045;0,02612;
февраль 2024;3 234 218;0,02900;
март 2024;3 620 396;0,03159;
апрель 2024;3 441 316;0,03193;
май 2024;3 616 204;0,03417;
июнь 2024;3 593 003;0,03874;
июль 2024;4 021 883;0,04353;
август 2024;4 839 749;0,05213;
сентябрь 2024;4 177 431;0,04233;
октябрь 2024;4 920 517;0,04242;
