Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Озон», по месяцам, 01.01.2018 — 31.10.2024, все регионы, все устройства
январь 2018;1 434 394;0,018;
февраль 2018;1 540 668;0,020;
март 2018;1 656 069;0,019;
апрель 2018;1 504 546;0,020;
май 2018;1 461 303;0,019;
июнь 2018;1 462 623;0,021;
июль 2018;1 522 855;0,021;
август 2018;1 644 933;0,023;
сентябрь 2018;1 892 480;0,024;
октябрь 2018;2 232 331;0,024;
ноябрь 2018;2 440 612;0,028;
декабрь 2018;2 829 295;0,033;
январь 2019;2 730 019;0,031;
февраль 2019;2 924 945;0,035;
март 2019;2 539 180;0,029;
апрель 2019;2 325 296;0,028;
май 2019;2 299 909;0,029;
июнь 2019;2 403 483;0,033;
июль 2019;2 713 205;0,037;
август 2019;2 921 401;0,040;
сентябрь 2019;3 014 153;0,038;
октябрь 2019;3 781 841;0,043;
ноябрь 2019;4 426 587;0,050;
декабрь 2019;4 851 520;0,052;
январь 2020;3 808 866;0,039;
февраль 2020;3 928 902;0,043;
март 2020;4 111 424;0,042;
апрель 2020;6 331 931;0,053;
май 2020;5 374 489;0,050;
июнь 2020;4 737 285;0,053;
июль 2020;4 501 701;0,053;
август 2020;4 655 011;0,055;
сентябрь 2020;4 929 854;0,052;
октябрь 2020;5 983 703;0,055;
ноябрь 2020;8 292 553;0,072;
декабрь 2020;10 613 533;0,096;
январь 2021;8 209 112;0,079;
февраль 2021;8 429 374;0,084;
март 2021;9 009 038;0,083;
апрель 2021;8 616 016;0,080;
май 2021;8 687 546;0,084;
июнь 2021;9 185 334;0,093;
июль 2021;9 955 841;0,103;
август 2021;11 239 014;0,112;
сентябрь 2021;11 913 503;0,111;
октябрь 2021;13 759 426;0,121;
ноябрь 2021;20 782 693;0,180;
декабрь 2021;21 705 541;0,184;
январь 2022;17 491 638;0,147;
февраль 2022;17 292 485;0,147;
март 2022;21 216 073;0,167;
апрель 2022;15 920 354;0,134;
май 2022;15 995 252;0,134;
июнь 2022;15 629 731;0,146;
июль 2022;15 861 929;0,153;
август 2022;17 535 144;0,163;
сентябрь 2022;18 462 278;0,158;
октябрь 2022;18 101 693;0,147;
ноябрь 2022;24 430 086;0,194;
декабрь 2022;24 926 100;0,199;
январь 2023;19 021 785;0,155;
февраль 2023;19 298 660;0,170;
март 2023;21 759 533;0,176;
апрель 2023;19 327 307;0,168;
май 2023;19 204 458;0,170;
июнь 2023;19 265 114;0,189;
июль 2023;19 863 990;0,198;
август 2023;20 356 266;0,204;
сентябрь 2023;19 695 812;0,184;
октябрь 2023;23 230 499;0,195;
ноябрь 2023;26 476 699;0,227;
декабрь 2023;26 384 546;0,222;
январь 2024;22 361 422;0,186;
февраль 2024;22 404 776;0,200;
март 2024;22 808 008;0,199;
апрель 2024;20 836 467;0,193;
май 2024;19 577 424;0,185;
июнь 2024;19 260 650;0,207;
июль 2024;19 774 040;0,214;
август 2024;19 358 195;0,208;
сентябрь 2024;19 247 314;0,195;
октябрь 2024;23 127 184;0,199;
