Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «озон», по месяцам, 01.01.2018 — 31.10.2024, все регионы, десктопы
январь 2018;845 477;0,018;
февраль 2018;929 606;0,020;
март 2018;974 012;0,020;
апрель 2018;887 251;0,020;
май 2018;832 438;0,019;
июнь 2018;807 707;0,021;
июль 2018;837 913;0,022;
август 2018;906 774;0,023;
сентябрь 2018;1 063 361;0,024;
октябрь 2018;1 262 835;0,024;
ноябрь 2018;1 252 341;0,028;
декабрь 2018;1 385 543;0,031;
январь 2019;1 270 320;0,029;
февраль 2019;1 350 252;0,033;
март 2019;1 175 162;0,028;
апрель 2019;1 084 502;0,028;
май 2019;994 513;0,028;
июнь 2019;1 025 476;0,032;
июль 2019;1 120 179;0,035;
август 2019;1 185 707;0,038;
сентябрь 2019;1 239 265;0,037;
октябрь 2019;1 648 893;0,043;
ноябрь 2019;1 855 124;0,049;
декабрь 2019;1 944 961;0,050;
январь 2020;1 521 271;0,037;
февраль 2020;1 605 872;0,042;
март 2020;1 705 784;0,041;
апрель 2020;2 776 382;0,051;
май 2020;2 159 120;0,047;
июнь 2020;1 938 324;0,054;
июль 2020;1 791 346;0,057;
август 2020;1 785 212;0,060;
сентябрь 2020;1 914 601;0,055;
октябрь 2020;2 271 587;0,058;
ноябрь 2020;3 063 304;0,069;
декабрь 2020;3 861 792;0,088;
январь 2021;2 839 659;0,074;
февраль 2021;3 219 349;0,084;
март 2021;3 605 699;0,086;
апрель 2021;3 434 017;0,083;
май 2021;3 287 576;0,088;
июнь 2021;3 481 557;0,100;
июль 2021;3 658 534;0,115;
август 2021;4 107 377;0,128;
сентябрь 2021;4 712 171;0,127;
октябрь 2021;5 471 602;0,135;
ноябрь 2021;8 153 354;0,192;
декабрь 2021;8 735 959;0,206;
январь 2022;6 808 554;0,171;
февраль 2022;6 955 520;0,171;
март 2022;9 293 876;0,213;
апрель 2022;6 855 048;0,173;
май 2022;6 431 100;0,173;
июнь 2022;6 275 172;0,186;
июль 2022;6 099 645;0,198;
август 2022;6 561 007;0,197;
сентябрь 2022;6 754 797;0,190;
октябрь 2022;6 584 240;0,175;
ноябрь 2022;8 436 872;0,219;
декабрь 2022;8 358 820;0,222;
январь 2023;6 287 661;0,179;
февраль 2023;6 572 966;0,197;
март 2023;7 543 572;0,204;
апрель 2023;6 662 190;0,196;
май 2023;6 775 560;0,201;
июнь 2023;6 772 630;0,227;
июль 2023;6 816 384;0,252;
август 2023;7 011 960;0,258;
сентябрь 2023;6 877 351;0,228;
октябрь 2023;8 246 395;0,236;
ноябрь 2023;9 156 634;0,272;
декабрь 2023;9 442 891;0,279;
январь 2024;7 948 499;0,240;
февраль 2024;8 421 255;0,249;
март 2024;8 912 522;0,256;
апрель 2024;8 470 516;0,250;
май 2024;7 892 190;0,240;
июнь 2024;7 452 231;0,270;
июль 2024;7 836 596;0,291;
август 2024;7 688 786;0,285;
сентябрь 2024;7 591 182;0,255;
октябрь 2024;9 137 228;0,250;
