Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «озон», по месяцам, 01.01.2018 — 31.10.2024, все регионы, смартфоны, планшеты
январь 2018;588 917;0,018;
февраль 2018;611 062;0,019;
март 2018;682 057;0,019;
апрель 2018;617 295;0,019;
май 2018;628 865;0,019;
июнь 2018;654 916;0,021;
июль 2018;684 942;0,021;
август 2018;738 159;0,023;
сентябрь 2018;829 119;0,023;
октябрь 2018;969 496;0,024;
ноябрь 2018;1 188 271;0,029;
декабрь 2018;1 443 752;0,034;
январь 2019;1 459 699;0,032;
февраль 2019;1 574 693;0,036;
март 2019;1 364 018;0,029;
апрель 2019;1 240 794;0,028;
май 2019;1 305 396;0,029;
июнь 2019;1 378 007;0,034;
июль 2019;1 593 026;0,038;
август 2019;1 735 694;0,041;
сентябрь 2019;1 774 888;0,039;
октябрь 2019;2 132 948;0,042;
ноябрь 2019;2 571 463;0,051;
декабрь 2019;2 906 559;0,054;
январь 2020;2 287 595;0,041;
февраль 2020;2 323 030;0,043;
март 2020;2 405 640;0,042;
апрель 2020;3 555 549;0,054;
май 2020;3 215 369;0,053;
июнь 2020;2 798 961;0,052;
июль 2020;2 710 355;0,051;
август 2020;2 869 799;0,053;
сентябрь 2020;3 015 253;0,050;
октябрь 2020;3 712 116;0,054;
ноябрь 2020;5 229 249;0,074;
декабрь 2020;6 751 741;0,101;
январь 2021;5 369 453;0,082;
февраль 2021;5 210 025;0,085;
март 2021;5 403 339;0,081;
апрель 2021;5 181 999;0,078;
май 2021;5 399 970;0,082;
июнь 2021;5 703 777;0,088;
июль 2021;6 297 307;0,097;
август 2021;7 131 637;0,105;
сентябрь 2021;7 201 332;0,103;
октябрь 2021;8 287 824;0,113;
ноябрь 2021;12 629 339;0,173;
декабрь 2021;12 969 582;0,172;
январь 2022;10 683 084;0,135;
февраль 2022;10 336 965;0,134;
март 2022;11 922 197;0,143;
апрель 2022;9 065 306;0,114;
май 2022;9 564 152;0,117;
июнь 2022;9 354 559;0,128;
июль 2022;9 762 284;0,134;
август 2022;10 974 137;0,148;
сентябрь 2022;11 707 481;0,145;
октябрь 2022;11 517 453;0,134;
ноябрь 2022;15 993 214;0,184;
декабрь 2022;16 567 280;0,189;
январь 2023;12 734 124;0,145;
февраль 2023;12 725 694;0,159;
март 2023;14 215 961;0,163;
апрель 2023;12 665 117;0,156;
май 2023;12 428 898;0,157;
июнь 2023;12 492 484;0,173;
июль 2023;13 047 606;0,178;
август 2023;13 344 306;0,183;
сентябрь 2023;12 818 461;0,166;
октябрь 2023;14 984 104;0,179;
ноябрь 2023;17 320 065;0,208;
декабрь 2023;16 941 655;0,199;
январь 2024;14 412 923;0,166;
февраль 2024;13 983 521;0,179;
март 2024;13 895 486;0,174;
апрель 2024;12 365 951;0,167;
май 2024;11 685 234;0,159;
июнь 2024;11 808 419;0,181;
июль 2024;11 937 444;0,182;
август 2024;11 669 409;0,177;
сентябрь 2024;11 656 132;0,168;
октябрь 2024;13 989 956;0,176;
