Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вайлдберриз», по месяцам, 01.01.2018 — 31.10.2024, все регионы, десктопы
январь 2018;537 165;0,011;
февраль 2018;580 593;0,012;
март 2018;699 351;0,014;
апрель 2018;698 518;0,016;
май 2018;790 753;0,018;
июнь 2018;731 906;0,019;
июль 2018;748 733;0,020;
август 2018;839 755;0,022;
сентябрь 2018;965 978;0,022;
октябрь 2018;1 150 312;0,021;
ноябрь 2018;1 154 897;0,025;
декабрь 2018;1 118 218;0,025;
январь 2019;952 793;0,022;
февраль 2019;1 089 990;0,027;
март 2019;1 112 909;0,027;
апрель 2019;1 036 905;0,027;
май 2019;967 557;0,027;
июнь 2019;952 919;0,029;
июль 2019;1 038 567;0,032;
август 2019;1 234 805;0,040;
сентябрь 2019;1 228 215;0,037;
октябрь 2019;1 475 942;0,038;
ноябрь 2019;1 665 684;0,044;
декабрь 2019;1 596 042;0,041;
январь 2020;1 277 215;0,031;
февраль 2020;1 422 400;0,037;
март 2020;1 455 784;0,035;
апрель 2020;2 662 650;0,049;
май 2020;2 371 696;0,051;
июнь 2020;2 102 974;0,058;
июль 2020;1 831 525;0,059;
август 2020;1 892 539;0,064;
сентябрь 2020;1 975 175;0,056;
октябрь 2020;2 289 372;0,058;
ноябрь 2020;2 903 257;0,065;
декабрь 2020;3 266 814;0,075;
январь 2021;2 446 378;0,064;
февраль 2021;2 829 986;0,073;
март 2021;2 995 551;0,071;
апрель 2021;2 975 283;0,072;
май 2021;2 858 564;0,077;
июнь 2021;2 879 104;0,083;
июль 2021;2 928 956;0,092;
август 2021;3 223 430;0,100;
сентябрь 2021;3 374 283;0,091;
октябрь 2021;3 617 370;0,089;
ноябрь 2021;4 635 617;0,109;
декабрь 2021;5 232 438;0,123;
январь 2022;4 328 841;0,108;
февраль 2022;4 608 466;0,113;
март 2022;5 774 768;0,132;
апрель 2022;4 366 177;0,110;
май 2022;4 093 127;0,110;
июнь 2022;4 282 389;0,127;
июль 2022;4 212 884;0,137;
август 2022;5 136 328;0,154;
сентябрь 2022;4 582 126;0,128;
октябрь 2022;4 683 553;0,124;
ноябрь 2022;5 265 798;0,136;
декабрь 2022;5 074 683;0,135;
январь 2023;3 765 646;0,107;
февраль 2023;3 713 636;0,111;
март 2023;4 062 127;0,110;
апрель 2023;3 389 793;0,099;
май 2023;3 500 432;0,104;
июнь 2023;3 486 525;0,116;
июль 2023;3 584 374;0,132;
август 2023;3 804 219;0,140;
сентябрь 2023;3 671 969;0,121;
октябрь 2023;4 002 721;0,114;
ноябрь 2023;3 989 373;0,118;
декабрь 2023;3 841 735;0,113;
январь 2024;3 318 268;0,100;
февраль 2024;3 384 671;0,100;
март 2024;3 493 819;0,100;
апрель 2024;3 270 482;0,096;
май 2024;2 973 758;0,090;
июнь 2024;2 732 640;0,099;
июль 2024;2 890 247;0,107;
август 2024;2 919 403;0,108;
сентябрь 2024;2 909 557;0,097;
октябрь 2024;3 647 525;0,099;
