Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вайлдберриз», по месяцам, 01.01.2018 — 31.10.2024, все регионы, смартфоны, планшеты
январь 2018;435 244;0,013;
февраль 2018;458 198;0,014;
март 2018;577 958;0,016;
апрель 2018;558 088;0,017;
май 2018;592 738;0,018;
июнь 2018;580 214;0,018;
июль 2018;621 557;0,019;
август 2018;707 036;0,022;
сентябрь 2018;787 736;0,022;
октябрь 2018;911 781;0,023;
ноябрь 2018;1 133 812;0,028;
декабрь 2018;1 154 331;0,027;
январь 2019;1 048 777;0,023;
февраль 2019;1 216 964;0,028;
март 2019;1 375 122;0,029;
апрель 2019;1 292 783;0,029;
май 2019;1 288 651;0,029;
июнь 2019;1 254 598;0,031;
июль 2019;1 469 506;0,035;
август 2019;1 649 554;0,039;
сентябрь 2019;1 798 595;0,039;
октябрь 2019;2 101 201;0,042;
ноябрь 2019;2 658 867;0,052;
декабрь 2019;2 827 623;0,053;
январь 2020;2 416 167;0,043;
февраль 2020;2 643 435;0,049;
март 2020;2 743 543;0,048;
апрель 2020;4 667 071;0,071;
май 2020;4 919 583;0,081;
июнь 2020;4 273 059;0,080;
июль 2020;3 842 065;0,072;
август 2020;4 177 860;0,077;
сентябрь 2020;4 167 558;0,069;
октябрь 2020;4 666 826;0,068;
ноябрь 2020;6 139 855;0,087;
декабрь 2020;6 848 478;0,103;
январь 2021;5 509 110;0,084;
февраль 2021;5 622 255;0,092;
март 2021;6 038 368;0,090;
апрель 2021;6 163 913;0,093;
май 2021;6 642 526;0,101;
июнь 2021;6 837 387;0,106;
июль 2021;7 504 103;0,115;
август 2021;8 560 332;0,126;
сентябрь 2021;8 344 894;0,119;
октябрь 2021;8 603 461;0,118;
ноябрь 2021;10 955 541;0,150;
декабрь 2021;12 113 123;0,160;
январь 2022;10 468 977;0,132;
февраль 2022;10 582 671;0,137;
март 2022;14 476 428;0,174;
апрель 2022;10 375 563;0,131;
май 2022;10 594 010;0,130;
июнь 2022;11 033 779;0,151;
июль 2022;11 355 129;0,155;
август 2022;13 674 739;0,185;
сентябрь 2022;11 857 928;0,146;
октябрь 2022;12 479 459;0,146;
ноябрь 2022;15 757 197;0,181;
декабрь 2022;16 128 938;0,184;
январь 2023;12 345 484;0,141;
февраль 2023;11 277 254;0,140;
март 2023;11 855 447;0,136;
апрель 2023;9 645 342;0,119;
май 2023;9 695 050;0,123;
июнь 2023;9 943 265;0,137;
июль 2023;10 405 279;0,142;
август 2023;10 703 906;0,147;
сентябрь 2023;10 072 907;0,131;
октябрь 2023;11 147 413;0,133;
ноябрь 2023;12 067 360;0,145;
декабрь 2023;12 105 611;0,142;
январь 2024;10 696 169;0,123;
февраль 2024;9 351 918;0,120;
март 2024;9 712 981;0,121;
апрель 2024;8 541 676;0,115;
май 2024;8 190 954;0,112;
июнь 2024;8 022 770;0,123;
июль 2024;8 168 662;0,124;
август 2024;8 327 600;0,126;
сентябрь 2024;7 938 144;0,115;
октябрь 2024;8 753 302;0,110;
